The Gamaredon Group Toolset Evolution .		others threatActor_name others others others others
This string gets concatenated with the retrieved local users temp path to the following file path : C:\Users\<Username>\AppData\Local\Temp\frAQBc8Wsa Then , it uses the API function URLDownloadToFileA() to download a payload to disk and executes it via CreateProcess() .		reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others reference_word others others others others function function function others sample_function sample_function sample_function sample_function sample_function others others others others function function function others
Finally , it sleeps for 60 seconds before terminating the payload and the DLL exits .		others others reference_word sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others
This file is a slightly more advanced version of LocalSMS.dll downloader .		others others others others others others others others others sample_name others others
Instead of downloading a payload directly to disk , this file requests a download command from the C2 server which contains the actual payload URL to be used .		others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others tool others others others others sub_activity sub_activity sub_activity others others others others
Therefore , it uses a basic network implementation based on the Winsock functions .		others others reference_word others others sub_activity sub_activity others others others others tool others others
All the functionality of this DLL is put into an export function named “ bitDefender ” .		others others sub_activity others others others others others others others others others others others function others others
It creates a socket , requests the address of the hardcoded C2 server “ win-restore.ru ” via gethostbyname() and connects to it .		reference_word sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others others others others others domain_evil others others function function function others others others others others
Thereafter , it also collects the volume serial number of C:\ drive , the computer name and the hardware profile GUID .		others others reference_word others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others sub_activity sub_activity others others sub_activity sub_activity sub_activity others
The response will be stored into a memory buffer via recv() and scanned for the string “ urltoload={ “ .		others others others others others others others others others others function function function others others others others others others others others others others
As the name suggests , the received data contains the actual URL of the payload inside curly brackets .		others others others others others others sub_activity sub_activity others others others tool others others others others others others others
The URL gets pulled out of the string and is used again as input for the API function URLDownloadToFile() .		reference_word reference_word others others others others others others others others others others others others others others others others function function function others
Again , the same file path will be used to store the payload on disk and execute it : “ C:\Users\<Username>\AppData\Local\Temp\frAQBc8Wsa ”  Pteranodon is a backdoor which also can capture screenshots based on a configuration file created on the disk .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others malware others others others sample_function sample_function others others others others others others others others others others
Further , it uploads the screenshots to the C2 server unencrypted .		others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others
All the functionality of this DLL is put into an export function named “ updater ” .		others others others others reference_word reference_word others others others others others others others others function others others
At first , it retrieves the %APPDATA% folder of the local user to build the following file path : “ C:\Users\<Username>\AppData\Roaming\Microsoft\desktop.ini ”  Then , it checks if the file already exists and continues execution if so .		others others others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others reference_word sub_activity sub_activity sub_activity sub_activity others others others others others others others others
If not , it runs a routine which checks if there is mouse movement as an anti-sandbox technique .		others others others reference_word sub_activity sub_activity sub_activity others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others
If no mouse movement is detected the malware runs in an infinite loop checking for mouse movement .		others others others others others others reference_word reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sample_function sample_function sample_function sample_function others
If the file “ desktop.ini ” does not exist , the malware creates it and writes the following information into it : ” interval={60} msfolder={10} status={0} ”  This information is used as configuration data to create the screenshots .		others others others others sample_name others others others others others reference_word reference_word sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
There are also other commands possible which can be retrieved from the C2 server .		others others others others others others others others others others others others tool others others
The following commands are available :  exec={ This command is used to download and execute a payload from a URL present in the curly brackets .		others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others others tool others others others others others others
It creates a random file path in temp folder , calls URLDownloadToFile() and CreateProcess() to run the payload .		reference_word sub_activity sub_activity sub_activity sub_activity sub_activity others location location others others function function function others function function function others others others others others
Then , it waits 30s and terminates the payload .		others others reference_word sub_activity sub_activity others sub_activity sub_activity sub_activity others
interval={ This command is used to define the interval in seconds between the creation of two or more screenshots .		others others others others others others others sample_function sample_function sample_function others others others others others others others others others others others
msfolder={ This command defines the number of screenshots to create .		others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others
command={ / command_c={ This command is used to execute a file present as a string between the curly brackets .		others others others others others others others others others others sample_function sample_function sample_function others others others others others others others others others
The variant with the “ c ” uses the Windows tool cmd.exe with help of ShellExecute() .		others sub_activity others others others others others others others OS_name sub_activity sample_name others others others function function function others
status={ This command contains the flag which defines if screenshots should be made ( “ 1 ” ) or not ( “ 0 ” ) .		others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others others others others
Next , it checks for a mutex named “ asassin1dj ” to verify if the system is already infected .		others others reference_word sub_activity sub_activity sub_activity sub_activity others others sample_name others others others others others others others others others others
Next , it creates the following folder , if not already present : “ C:\Users\<Username>\AppData\Roaming\Microsoft\store ”  Next , according to the configuration data in “ desktop.ini ” it constantly creates 24-bit color depth JPEG screenshots without extension in the store folder with help of GDI32 and gdiplus API functions .		others others reference_word sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others others others sample_name others reference_word others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others tool others tool tool tool others
The following file naming scheme for the screenshots is used : <year><month><day>_<hour><minute><seconds> After the last screenshot was created , it uploads all files from the “ store ” folder to the C2 server “ win-restore.ru ” .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others reference_word sub_activity sub_activity sub_activity others others others others others others others others tool tool others domain_evil others others
Then , it deletes all the files present in the folder and starts a new screenshot creation cycle .		others others reference_word sub_activity sub_activity sub_activity sub_activity others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
It should be noted that there is no check of what files are uploaded .		others others others others others others others others others others others others others others others
The files are uploaded via POST HTTP method to the script “ vvd.php ” .		others others others others others function protocol others others others others others sample_name others others
Finally , it checks if any new command information is available from the C2 server and updates the “ desktop.ini ” file according to it .		others others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others tool others others others others others sample_name others others others others others others
Based on functionality , compile timestamps , and binary differencing this malware is likely an updated version of 598c55b89e819b23eac34547ad02e5cd59e1b8fcb23b5063a251d8e8fae8b824 .		others others others others others others others others others others others others others others others others others others sha1 others
This file runs an infinite loop until mouse movement gets detected , then it exits .		others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others
This file can be used to circumvent sandboxes that don’t simulate mouse movement .		reference_word reference_word others others others others sample_function sample_function others others others others others others others others
To detect if it ’s running inside a sandbox , another file can scan the list of running processes to see if “ wmphost.exe ” is present or not .		others others others others others others others others others others others others others others others others others others others others others others others others sample_name others others others others others others
Gamaredon : admin-ru.ru .		threatActor_name others domain_evil others
Gamaredon : adobe.update-service.net .		threatActor_name others domain_evil others
Gamaredon : apploadapp.webhop.me .		threatActor_name others domain_evil others
Gamaredon : brokbridge.com .		threatActor_name others domain_evil others
Gamaredon : cat.gotdns.ch .		threatActor_name others domain_evil others
Gamaredon : check-update.ru .		threatActor_name others domain_evil others
Gamaredon : http://childrights.in.ua/public/manager/img/scrdll.ini .		threatActor_name others url_evil url_evil url_evil others
Gamaredon : http://prestigeclub.frantov.com.ua/press-center/press/chrome-xvnc-v5517.exe .		threatActor_name others url_evil url_evil url_evil others
Gamaredon : http://umachka.ua/screen/dk.tmp .		threatActor_name others url_evil url_evil url_evil others
Gamaredon : http://umachka.ua/screen/screen.tmp .		threatActor_name others url_evil url_evil url_evil others
Gamaredon : http://viberload.ddns.net/viber.nls .		threatActor_name others url_evil url_evil url_evil others
Gamaredon : 002aff376ec452ec35ae2930dfbb51bd40229c258611d19b86863c3b0d156705 .		threatActor_name others sha2 others
Gamaredon : 08e69f21c3c60a4a9b78f580c3a55d4cfb74729705b5b7d01c1aecfd58fc49e6 .		threatActor_name others sha2 others
Gamaredon : 0c47cf984afe87a14d0d4c94557864ed19b4cb52783e49ce96ebf9c2f8b52d27 .		threatActor_name others sha2 others
Gamaredon : 0dc1010c3d3766158e2347d10fc78d9223c6e0e3a44aa8a76622aeff7d429ab9 .		threatActor_name others sha2 others
Gamaredon : 0f745512940e0efd8f09c6d862571cba2b98fac9a9f7cf30dedcc08ace43a494 .		threatActor_name others sha2 others
Gamaredon : 145dab86a43835bb37734c16756d6d64d8e5ac6b87c491c57385e27b564136b8 .		threatActor_name others sha2 others
Gamaredon : 026be8a873560f1496c6961f6e36c312bdda01beacb17c4b744f35ee1923d061 .		threatActor_name others sha2 others
Gamaredon : 03c943f5cba11b09b9c3afa0705d4a027e5a9d81b299711740cc5aedfe4b4aa1 .		threatActor_name others sha2 others
Gamaredon : 03e5e99cc8280de4663c4b65bfd26782d4975258808a63a4b20bc068008df7f5 .		threatActor_name others sha2 others
Gamaredon : 059e40ba91b2b2d827c200476fcbd0fad0d43ab198d0c206c996777d27e6de65 .		threatActor_name others sha2 others
Gamaredon : 0669e61e51cf43daa431d52b5461c90bdce1b1bee03b087e4406c30264dcb9a4 .		threatActor_name others sha2 others
Gamaredon : 068b9a9194efacc16cf142814e79b7041b6ab3d671a95bb508dbd30061c324aa .		threatActor_name others sha2 others
