Cycldek : Bridging the ( air ) gap .		threatActor_name others others others others others others others others
For more information about Cycldek operations , contact us at :  intelreports@kaspersky.com Cycldek :  A6C751D945CFE84C918E88DF04D85798 – wsc.dll ( side-loaded DLL ) .		others others others others threatActor_name others others others others others others others others others threatActor_name others md5 others sample_name others others string others others
Cycldek :  4B785345161D288D1652C1B2D5CEADA1 – msgsm64.acm ( encrypted shellcode and implant ) .		threatActor_name others md5 others sample_name others others program_language others others others others
Cycldek :  1B19175C41B9A9881B23B4382CC5935F  – QcLite.dll ( side-loaded DLL ) .		threatActor_name others md5 others sample_name others others string others others
Cycldek :  6D2E6A61EEDE06FA9D633CE151208831 – QcLite.dll ( side-loaded DLL ) .		threatActor_name others md5 others sample_name others others string others others
Cycldek :  6EA33305B5F0F703F569B9EBD6035BFD – QcLite.dll ( side-loaded DLL ) .		threatActor_name others md5 others sample_name others others string others others
Cycldek :  600E14E4B0035C6F0C6A344D87B6C27F- stdole.tlb ( encrypted Shellcode and Implant ) .		threatActor_name others others sample_name others others program_language others others others others
Cycldek :  1640EE7A414DFF996AF8265E0947DE36 Chromepass .		threatActor_name others md5 tool others
Cycldek :  1EA07468EBDFD3D9EEC59AC57A490701 Chromepass .		threatActor_name others md5 tool others
Cycldek :  07EE1B99660C8CD5207E128F44AA8CBC JsonCookies .		threatActor_name others md5 tool others
Cycldek :  809196A64CA4A32860D28760267A1A8B Custom HDoor .		threatActor_name others md5 tool tool others
Cycldek :  81660985276CF9B6D979753B6E581D34 Custom HDoor .		threatActor_name others md5 tool tool others
Cycldek :  A44804C2767DCCD4902AAE30C36E62C0 Custom HDoor .		threatActor_name others md5 tool tool others
Cycldek :  A9BCF983FE868A275F8D9D8F5DEFACF5 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  C73B000313DCD2289F51B367F744DCD8 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  2FB731903BD12FF61E6F778FDF9926EE USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  4A21F9B508DB19398AEE7FE4AE0AC380 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  6BE1362D722BA4224979DE91A2CD6242 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  7789055B0836A905D9AA68B1D4A50F09 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  782FF651F34C87448E4503B5444B6164 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  88CDD3CE6E5BAA49DC69DA664EDEE5C1 USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  A4AD564F8FE80E2EE52E643E449C487D USBCulprit Loader .		threatActor_name others md5 malware tool others
Cycldek :  3CA7BD71B30007FC30717290BB437152 USBCulprit Payload .		threatActor_name others md5 malware tool others
Cycldek :  58FE8DB0F7AE505346F6E4687D0AE233 USBCulprit Payload .		threatActor_name others md5 malware tool others
Cycldek :  A02E2796E0BE9D84EE0D4B205673EC20 USBCulprit Payload .		threatActor_name others md5 malware tool others
Cycldek :  D8DB9D6585D558BA2D28C33C6FC61874 USBCulprit Payload .		threatActor_name others md5 malware tool others
Cycldek :  2E522CE8104C0693288C997604AE0096 USBCulrprit Payload .		threatActor_name others md5 malware tool others
Cycldek :  Toolset overlapping in both clusters :  chromepass.exe 1EA07468EBDFD3D9EEC59AC57A490701 http://login.vietnamfar.com : 8080 http://news.trungtamwtoa.com : 88 ChromePass .		threatActor_name others others others others others others others sample_name md5 url_evil url_evil url_evil others others url_evil url_evil url_evil others others tool others
goopdate.dll D8DB9D6585D558BA2D28C33C6FC61874 http://cophieu.dcsvnqvmn.com : 8080 http://mychau.dongnain.com : 443 http://hcm.vietbaonam.com : 443 USBCulprit .		sample_name md5 url_evil url_evil url_evil others others url_evil url_evil url_evil others others url_evil url_evil url_evil others others malware others
goopdate.dll 2E522CE8104C0693288C997604AE0096 http://nghiencuu.onetotechnologys.com : 8080 ttp://tinmoi.thoitietdulich.com : 443 http://tinmoi.thoitietdulich.com : 53 http://tinmoi.vieclamthemde.com : 53 http://tinmoi.vieclamthemde.com USBCulprit .		sample_name md5 url_evil url_evil url_evil others others url_evil url_evil url_evil others others url_evil url_evil url_evil others others url_evil url_evil url_evil others others url_evil url_evil url_evil malware others
qclite.dll 7FF0AF890B00DEACBF42B025DDEE8402 http://web.hcmuafgh.com http://tinmoi.vieclamthemde.com http://tintuc.daikynguyen21.com BlueCore Loading Hijacked DLL .		sample_name md5 url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil url_evil sample_name others tool tool others
silverlightmsi.dat A44804C2767DCCD4902AAE30C36E62C0 http://web.laovoanew.com : 443 http://cdn.laokpl.com : 8080 http://login.dangquanwatch.com : 53 http://info.coreders.com : 8080 Custom HDoor .		sample_name md5 url_evil url_evil url_evil others others url_evil url_evil url_evil others others url_evil url_evil url_evil others others url_evil url_evil url_evil others others tool tool others
Cycldek :  http://web.laovoanew.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://tinmoi.vieclamthemde.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://kinhte.chototem.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://news.trungtamwtoa.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://mychau.dongnain.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://hcm.vietbaonam.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://login.thanhnienthegioi.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://103.253.25.73 – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://luan.conglyan.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://toiyeuvn.dongaruou.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://tintuc.daikynguyen21.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://web.laomoodwin.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://login.giaoxuchuson.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://lat.conglyan.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://thegioi.kinhtevanhoa.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://laovoanew.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://cdn.laokpl.com – Red Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://login.dangquanwatch.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://info.coreders.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://thanhnien.vietnannnet.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://login.diendanlichsu.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://login.vietnamfar.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://cophieu.dcsvnqvmn.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://nghiencuu.onetotechnologys.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://tinmoi.thoitietdulich.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://khinhte.chinhsech.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://images.webprogobest.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://web.hcmuafgh.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://news.cooodkord.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://24h.tinthethaoi.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://quocphong.ministop14.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://nhantai.xmeyeugh.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://thoitiet.yrindovn.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
Cycldek :  http://hanghoa.trenduang.com – Blue Cluster .		threatActor_name others url_evil url_evil url_evil others others others others
