APT trends report Q2 2019 .		others others others others others others
Early in June , researchers at Malwarebytes Labs observed a number of compromises on Amazon CloudFront , a Content Delivery Network ( CDN ) , where hosted JavaScript libraries were tampered with and injected with web skimmers .		others others time others others others security_team security_team others others others others others others others others others others others others others others others others others others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others
Although attacks that involve CDNs usually affect a large number of web properties at once via their supply chain , this isn’t always the case .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Some websites either use Amazon ’s cloud infrastructure to host their own libraries or link to code developed specifically for them and hosted on a custom AWS S3 bucket .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Without properly validating externally loaded content , these sites are exposing their users to various threats , including some that pilfer credit card data .		others others others others others others others others others others others others others others others others others others others others others others others others others
After analyzing these breaches , researchers found that they are a continuation of a campaign from Magecart threat actors attempting to cast a wide net around many different CDNs .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CDNs are widely used because they provide great benefits to website owners , including optimizing load times and cost , as well as helping with all sorts of data analytics .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The sites they identified had nothing in common other than the fact they were all using their own custom CDN to load various libraries .		others others others others others others others others others others others others others others others others others others others others others others others others others
In effect , the only resulting victims of a compromise on their CDN repository would be themselves .		others others others others others others others others others others others others others others others others others others
Dragos has reported that XENOTIME , the APT group behind the TRISIS ( aka TRITON and HatMan ) attack on a Saudi Arabian petro-chemical facility in 2017 , has expanded its focus beyond the oil and gas industries .		security_team others others others threatActor_name others others others others others others threatActor_name others others threatActor_aliases others others others others others others industry industry industry industry others time others others others others others others others others others others others others
Researchers have recently seen the group probing the networks of electric utility organizations in the US and elsewhere – perhaps as a precursor to a dangerous attack on critical infrastructure that could potentially cause physical damage or loss of life .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Dragos first noticed the shift in targeting in late 2018 ; and the attacks have continued into 2019 .		security_team others others others others others others others others time others others others others others others others time others
We recently reported on the latest versions of FinSpy for Android and iOS , developed in mid-2018 .		reference_word others others others others others others others malware others OS_name others OS_name others others others time others
This surveillance software is sold to government and law enforcement organizations all over the world , who use it to collect a variety of private user information on various platforms .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
WikiLeaks first discovered the implants for desktop devices in 2011 and mobile implants were discovered in 2012 .		attack_activity others others others others others others others others time others others others others others others time others
Since then Kaspersky has continuously monitored the development of this malware and the emergence of new versions in the wild .		others others security_team others others others others others others others others others others others others others others others others others others
Mobile implants for iOS and Android have almost the same functionality .		others others others OS_name others OS_name others others others others others others
They are capable of collecting personal information such as contacts , messages , emails , calendars , GPS location , photos , files in memory , phone call recordings and data from the most popular messengers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The Android implant includes functionality to gain root privileges on an unrooted device by abusing known vulnerabilities .		others OS_name others others others others others others others others others others others others others others others others
It would seem that the iOS solution doesn’t provide infection exploits for its customers : the product seems to be fine-tuned to clean traces of publicly available jailbreaking tools .		others others others others others OS_name others others others others others others others others others others others others others others others others others others others others others others others others others others
This might imply that physical access to the victim ’s device is required in cases where devices are not already jailbroken .		others others others others others others others others others others others others others others others others others others others others others others others
The latest version includes multiple features that we haven’t observed before .		others others others others others others others others others others others others others others
During our recent research , we detected up-to-date versions of these implants in the wild in almost 20 countries , but the size of the customer base would suggest that the real number of victims may be much higher .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
APT activity in the Middle East has been particularly interesting this quarter , not least because of the leaks related to alleged Iranian activity .		others others others others others others others others others others others others others others others others others others others others others others others others others
This is especially interesting because one of those leaks might have been part of a disinformation campaign carried out with the help of the Sofacy/Hades threat actor .		others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others
In contrast to earlier periods , when Southeast Asia was the most active region for APTs , the activities we detected this quarter were mainly Korean-related .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
For the rest of the region , it was a much quieter quarter .		others others others others others others others others others others others others others others
Across all regions , geo-politics remains the principal driver of APT activity .		others others others others others others others others others others others others others
It is also clear from our FinSpy research that there is a high demand for ‘ commercial ’ malware from governments and law enforcement agencies .		others others others others others others malware others others others others others others others others others others others others others others others others others others others
One of the most noteworthy aspects of the APT threat landscape we reported this quarter was our discovery of TajMahal , a previously unknown and technically sophisticated APT framework that has been in development for at least five years .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This full-blown spying framework includes up to 80 malicious modules stored in its encrypted Virtual File System – one of the highest numbers of plugins we ’ve ever seen for an APT toolset .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
As always , we would note that our reports are the product of our visibility into the threat landscape .		others others others others others others others others others others others others others others others others others others others others
However , it needs to be borne in mind that , while we strive to continually improve , there is always the possibility that other sophisticated attacks may fly under our radar .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
